---------------------------------------------------------------------------------------------------------------------------------------------------------
| type                                                              | property                                                                          |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shots-blocked-outfielder>              |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shots-off-goal-total>                  |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shots-on-goal-total>                   |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shots-total>                           |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shotsBlockedCross>                     |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shotsBlockedOutfielder>                |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shotsOffGoalTotal>                     |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shotsOnGoalTotal>                      |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shotsPenaltyShotAllowed>               |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shotsPenaltyShotMissed>                |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shotsPenaltyShotScored>                |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shotsTotal>                            |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/shutouts>                              |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/tackles-lost>                          |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/tackles-total>                         |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/tackles-won>                           |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/tacklesLost>                           |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/tacklesTotal>                          |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/tacklesWon>                            |
| <https://sportschema.org/ontologies/main/IndividualParticipation> | <https://sportschema.org/ontologies/soccer/touches>                               |
| <https://sportschema.org/ontologies/main/Membership>              | rdf:type                                                                          |
| <https://sportschema.org/ontologies/main/Membership>              | <http://www.w3.org/2000/01/rdf-schema#label>                                      |
| <https://sportschema.org/ontologies/main/Membership>              | <https://sportschema.org/ontologies/main/endDate>                                 |
| <https://sportschema.org/ontologies/main/Membership>              | <https://sportschema.org/ontologies/main/membershipBy>                            |
| <https://sportschema.org/ontologies/main/Membership>              | <https://sportschema.org/ontologies/main/membershipOf>                            |
| <https://sportschema.org/ontologies/main/Membership>              | <https://sportschema.org/ontologies/main/membershipStatus>                        |
| <https://sportschema.org/ontologies/main/Membership>              | <https://sportschema.org/ontologies/main/positionRegular>                         |
| <https://sportschema.org/ontologies/main/Membership>              | <https://sportschema.org/ontologies/main/startDate>                               |
| <https://sportschema.org/ontologies/main/Official>                | rdf:type                                                                          |
| <https://sportschema.org/ontologies/main/Official>                | <http://www.w3.org/2000/01/rdf-schema#label>                                      |
| <https://sportschema.org/ontologies/main/OfficialParticipation>   | rdf:type                                                                          |
| <https://sportschema.org/ontologies/main/OfficialParticipation>   | <http://www.w3.org/2000/01/rdf-schema#label>                                      |
| <https://sportschema.org/ontologies/main/OfficialParticipation>   | <https://sportschema.org/ontologies/main/participationBy>                         |
| <https://sportschema.org/ontologies/main/OfficialParticipation>   | <https://sportschema.org/ontologies/main/positionEvent>                           |
| <https://sportschema.org/ontologies/main/ParticipationSplit>      | rdf:type                                                                          |
| <https://sportschema.org/ontologies/main/ParticipationSplit>      | <http://www.w3.org/2000/01/rdf-schema#label>                                      |
| <https://sportschema.org/ontologies/main/ParticipationSplit>      | <https://sportschema.org/ontologies/corestatistics/eventsPlayed>                  |
| <https://sportschema.org/ontologies/main/ParticipationSplit>      | <https://sportschema.org/ontologies/corestatistics/losses>                        |
| <https://sportschema.org/ontologies/main/ParticipationSplit>      | <https://sportschema.org/ontologies/corestatistics/pointsScoredAgainst>           |
| <https://sportschema.org/ontologies/main/ParticipationSplit>      | <https://sportschema.org/ontologies/corestatistics/pointsScoredFor>               |
| <https://sportschema.org/ontologies/main/ParticipationSplit>      | <https://sportschema.org/ontologies/corestatistics/standingPoints>                |
| <https://sportschema.org/ontologies/main/ParticipationSplit>      | <https://sportschema.org/ontologies/corestatistics/ties>                          |
| <https://sportschema.org/ontologies/main/ParticipationSplit>      | <https://sportschema.org/ontologies/corestatistics/wins>                          |
| <https://sportschema.org/ontologies/main/ParticipationSplit>      | <https://sportschema.org/ontologies/main/participationSplitType>                  |
| <https://sportschema.org/ontologies/main/Site>                    | rdf:type                                                                          |
| <https://sportschema.org/ontologies/main/Site>                    | <http://www.w3.org/2000/01/rdf-schema#label>                                      |
| <https://sportschema.org/ontologies/main/Team>                    | rdf:type                                                                          |
| <https://sportschema.org/ontologies/main/Team>                    | <http://www.w3.org/2000/01/rdf-schema#label>                                      |
| <https://sportschema.org/ontologies/main/Team>                    | <https://sportschema.org/ontologies/main/competition>                             |
| <https://sportschema.org/ontologies/main/Team>                    | <https://sportschema.org/ontologies/main/membership>                              |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/cautions-total>                           |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/clearances-successful>                    |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/corner-kicks>                             |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/fouls-commited>                           |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/free-kicks>                               |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/goals-against-total>                      |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/interceptions>                            |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/line-formation>                           |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/offsides>                                 |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/passes-total>                             |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/shots-blocked>                            |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/shots-on-goal-total>                      |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/shots-total>                              |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/tackles-lost>                             |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/tackles-total>                            |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/tackles-won>                              |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spsocstat/tackles-won-percentage>                   |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spstat/event-outcome>                               |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spstat/score-opposing>                              |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://cv.iptc.org/newscodes/spstat/time-of-possession-percentage>               |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | rdf:type                                                                          |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <http://www.w3.org/2000/01/rdf-schema#label>                                      |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/eventOutcome>                  |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/eventsPlayed>                  |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/losses>                        |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/outcome-result>                |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/pointsDifference>              |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/pointsScoredAgainst>           |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/pointsScoredFor>               |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/score>                         |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/score-opposing>                |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/scoreOpposing>                 |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/seriesScore>                   |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/seriesScoreOpposing>           |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/standingPoints>                |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/ties>                          |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/time-of-possession-percentage> |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/timeOfPossessionPercentage>    |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/corestatistics/wins>                          |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/main/alignment>                               |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/main/eventOutcome>                            |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/main/participationBy>                         |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/main/participationSplit>                      |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/main/rank>                                    |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/main/score>                                   |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/cautionsTotal>                         |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/clearancesSuccessful>                  |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/corner-kicks>                          |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/cornerKicks>                           |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/fouls-commited>                        |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/foulsCommited>                         |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/freeKicks>                             |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/goalsAgainstTotal>                     |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/interceptions>                         |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/line-formation>                        |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/lineFormation>                         |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/offsides>                              |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/passesTotal>                           |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/shots-on-goal-total>                   |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/shots-total>                           |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/shotsBlocked>                          |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/shotsOnGoalTotal>                      |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/shotsTotal>                            |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/shutouts>                              |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/tacklesLost>                           |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/tacklesTotal>                          |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/tacklesWon>                            |
| <https://sportschema.org/ontologies/main/TeamParticipation>       | <https://sportschema.org/ontologies/soccer/tacklesWonPercentage>                  |
---------------------------------------------------------------------------------------------------------------------------------------------------------
