---------------------------------------------------------------------------------------------------------------------------
| eventName                                                  | playerName                         | rank | time           |
| "Orbetello - Frascati - 235km"                             | "Florian Senechal"                 | 5    | "05:58:19.000" |
| "Orbetello - Frascati - 235km"                             | "Primoz Roglic"                    | 6    | "05:58:19.000" |
| "Orbetello - Frascati - 235km"                             | "Valerio Conti"                    | 7    | "05:58:31.000" |
| "Orbetello - Frascati - 235km"                             | "Miguel Angel Lopez"               | 8    | "05:58:35.000" |
| "Orbetello - Frascati - 235km"                             | "Arnaud Demare"                    | 9    | "05:58:35.000" |
| "Orbetello - Frascati - 235km"                             | "Simon Yates"                      | 10   | "05:58:35.000" |
| "Orbetello - Frascati - 235km"                             | "Rafal Majka"                      | 11   | "05:58:35.000" |
| "Orbetello - Frascati - 235km"                             | "Bauke Mollema"                    | 12   | "05:58:35.000" |
| "Orbetello - Frascati - 235km"                             | "Davide Formolo"                   | 13   | "05:58:35.000" |
| "Orbetello - Frascati - 235km"                             | "Tony Gallopin"                    | 14   | "05:58:35.000" |
| "Orbetello - Frascati - 235km"                             | "Vincenzo Nibali"                  | 15   | "00:00:00.000" |
| "Orbetello - Frascati - 235km"                             | "Bob Jungels"                      | 16   | "05:58:35.000" |
| "Orbetello - Frascati - 235km"                             | "Alexis Vuillermoz"                | 17   | "05:58:35.000" |
| "Orbetello - Frascati - 235km"                             | "Ilnur Zakarin"                    | 18   | "05:58:35.000" |
| "Orbetello - Frascati - 235km"                             | "Tao Geoghegan Hart"               | 19   | "05:58:35.000" |
| "Orbetello - Frascati - 235km"                             | "Esteban Chaves"                   | 20   | "05:58:35.000" |
| "Frascati - Terracina - 140km"                             | "Pascal Ackermann"                 | 1    | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Fernando Gaviria"                 | 2    | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Arnaud Demare"                    | 3    | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Caleb Ewan"                       | 4    | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Matteo Moschetti"                 | 5    | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Ryan Gibbons"                     | 6    | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Paolo Simion"                     | 7    | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Jenthe Biermans"                  | 8    | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Giovanni Lonardi"                 | 9    | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Manuel Belletti"                  | 10   | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Davide Cimolai"                   | 11   | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Josef Cerny"                      | 12   | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Sean Bennett"                     | 13   | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Juan Lobato Del Valle"            | 14   | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Rudiger Selig"                    | 15   | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Giacomo Nizzolo"                  | 16   | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Simone Consonni"                  | 17   | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Jacopo Guarnieri"                 | 18   | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Elia Viviani"                     | 19   | "03:15:44.000" |
| "Frascati - Terracina - 140km"                             | "Marco Haller"                     | 20   | "03:15:44.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Fausto Masnada"                   | 1    | "05:45:01.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Valerio Conti"                    | 2    | "05:45:06.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Jose Rojas"                       | 3    | "05:45:39.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Ruben Plaza Molina"               | 4    | "05:45:39.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Giovanni Carboni"                 | 5    | "05:45:44.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Pieter Serry"                     | 6    | "05:45:55.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Valentin Madouas"                 | 7    | "05:45:55.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Nans Peters"                      | 8    | "05:45:58.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Andrey Amador"                    | 9    | "05:45:58.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Amaro Antunes"                    | 10   | "05:45:58.000" |
| "Cassino - San Giovanni Rotondo - 238km"                   | "Sam Oomen"                        | 11   | "05:46:04.000" |
