---------------------------------------------------------------------------------------------------------------------------
| eventName                                                  | playerName                         | rank | time           |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Joseph Dombrowski"                | 9    | "04:04:17.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Damiano Caruso"                   | 10   | "04:04:24.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Davide Formolo"                   | 11   | "04:06:12.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Bauke Mollema"                    | 12   | "04:06:27.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Hugh Carthy"                      | 13   | "04:08:03.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Mikel Nieve"                      | 14   | "04:08:03.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Antonio Pedrero"                  | 15   | "04:08:03.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Alexis Vuillermoz"                | 16   | "04:08:21.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Valentin Madouas"                 | 17   | "04:08:21.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Andrey Zeits"                     | 18   | "04:08:21.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Giulio Ciccone"                   | 19   | "04:09:36.000" |
| "Saint-Vincent - Courmayeur (Skyway Monte Bianco) - 131km" | "Ilnur Zakarin"                    | 20   | "04:09:43.000" |
| "Ivrea - Como - 232km"                                     | "Dario Cataldo"                    | 1    | "05:48:15.000" |
| "Ivrea - Como - 232km"                                     | "Mattia Cattaneo"                  | 2    | "05:48:15.000" |
| "Ivrea - Como - 232km"                                     | "Simon Yates"                      | 3    | "05:48:26.000" |
| "Ivrea - Como - 232km"                                     | "Hugh Carthy"                      | 4    | "05:48:26.000" |
| "Ivrea - Como - 232km"                                     | "Richard Carapaz"                  | 5    | "05:48:26.000" |
| "Ivrea - Como - 232km"                                     | "Vincenzo Nibali"                  | 6    | "05:48:26.000" |
| "Ivrea - Como - 232km"                                     | "Miguel Angel Lopez"               | 7    | "05:48:51.000" |
| "Ivrea - Como - 232km"                                     | "Rafal Majka"                      | 8    | "05:48:51.000" |
| "Ivrea - Como - 232km"                                     | "Domenico Pozzovivo"               | 9    | "05:48:51.000" |
| "Ivrea - Como - 232km"                                     | "Mikel Landa Meana"                | 10   | "05:48:51.000" |
| "Ivrea - Como - 232km"                                     | "Davide Formolo"                   | 11   | "05:48:51.000" |
| "Ivrea - Como - 232km"                                     | "Bauke Mollema"                    | 12   | "05:49:06.000" |
| "Ivrea - Como - 232km"                                     | "Primoz Roglic"                    | 13   | "05:49:06.000" |
| "Ivrea - Como - 232km"                                     | "Jon Izaguirre Insausti"           | 14   | "05:49:06.000" |
| "Ivrea - Como - 232km"                                     | "Jan Polanc"                       | 15   | "05:49:09.000" |
| "Ivrea - Como - 232km"                                     | "Pavel Sivakov"                    | 16   | "05:49:19.000" |
| "Ivrea - Como - 232km"                                     | "Ilnur Zakarin"                    | 17   | "05:49:19.000" |
| "Ivrea - Como - 232km"                                     | "Jan Hirt"                         | 18   | "05:49:19.000" |
| "Ivrea - Como - 232km"                                     | "Edward Dunbar"                    | 19   | "05:49:21.000" |
| "Ivrea - Como - 232km"                                     | "Jai Hindley"                      | 20   | "05:49:42.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Giulio Ciccone"                   | 1    | "05:36:24.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Jan Hirt"                         | 2    | "05:36:24.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Fausto Masnada"                   | 3    | "05:37:44.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Vincenzo Nibali"                  | 4    | "05:38:05.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Hugh Carthy"                      | 5    | "05:38:05.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Richard Carapaz"                  | 6    | "05:38:05.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Mikel Landa Meana"                | 7    | "05:38:05.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Joseph Dombrowski"                | 8    | "05:38:05.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Damiano Caruso"                   | 9    | "05:38:13.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Mattia Cattaneo"                  | 10   | "05:38:27.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Miguel Angel Lopez"               | 11   | "05:38:27.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Bauke Mollema"                    | 12   | "05:39:27.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Mikel Nieve"                      | 13   | "05:39:27.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Simon Yates"                      | 14   | "05:39:27.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Primoz Roglic"                    | 15   | "05:39:27.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Pavel Sivakov"                    | 16   | "05:40:08.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Lucas Hamilton"                   | 17   | "05:40:08.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Domenico Pozzovivo"               | 18   | "05:40:08.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Jai Hindley"                      | 19   | "05:40:26.000" |
| "Lovere - Ponte di Legno - 226km"                          | "Davide Formolo"                   | 20   | "05:41:10.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Nans Peters"                      | 1    | "04:41:34.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Esteban Chaves"                   | 2    | "04:43:08.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Davide Formolo"                   | 3    | "04:43:25.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Fausto Masnada"                   | 4    | "04:43:25.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Krists Neilands"                  | 5    | "04:43:25.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Tanel Kangert"                    | 6    | "04:43:36.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Valerio Conti"                    | 7    | "04:43:42.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Gianlucia Brambilla"              | 8    | "04:43:42.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Chris Hamilton"                   | 9    | "04:43:56.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Andrea Vendrame"                  | 10   | "04:44:08.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Thomas De Gendt"                  | 11   | "04:44:11.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Koen Bouwman"                     | 12   | "04:44:22.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Victor De La Parte"               | 13   | "04:44:39.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Amaro Antunes"                    | 14   | "04:44:39.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Jan Bakelants"                    | 15   | "04:45:03.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Nicola Conci"                     | 16   | "04:45:09.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Mirco Maestri"                    | 17   | "04:45:15.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Bob Jungels"                      | 18   | "04:45:23.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Mikel Landa Meana"                | 19   | "04:46:01.000" |
| "Commezzadura (Val Di Sole) - Anterselva/Antholz - 181km"  | "Richard Carapaz"                  | 20   | "04:46:13.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Damiano Cima"                     | 1    | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Pascal Ackermann"                 | 2    | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Simone Consonni"                  | 3    | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Florian Senechal"                 | 4    | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Ryan Gibbons"                     | 5    | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Manuel Belletti"                  | 6    | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Davide Cimolai"                   | 7    | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Arnaud Demare"                    | 8    | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Sean Bennett"                     | 9    | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Mirco Maestri"                    | 10   | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Nico Denz"                        | 11   | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Paolo Simion"                     | 12   | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Michael Gogl"                     | 13   | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Juan Lobato Del Valle"            | 14   | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Josef Cerny"                      | 15   | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Marco Haller"                     | 16   | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Marco Marcato"                    | 17   | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Rudiger Selig"                    | 18   | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Jenthe Biermans"                  | 19   | "04:56:04.000" |
| "Valdaora/Olang - Santa Maria di Sala - 222km"             | "Francisco Jose Ventoso Alberdi"   | 20   | "04:56:04.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Esteban Chaves"                   | 1    | "04:01:31.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Andrea Vendrame"                  | 2    | "04:01:41.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Amaro Antunes"                    | 3    | "04:01:43.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Giovanni Carboni"                 | 4    | "04:01:55.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Pieter Serry"                     | 5    | "04:02:03.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Francois Bidard"                  | 6    | "04:02:06.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Marco Canola"                     | 7    | "04:02:33.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Manuele Boaro"                    | 8    | "04:03:08.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Manuel Senni"                     | 9    | "04:03:24.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Olivier Le Gac"                   | 10   | "04:04:04.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Marco Marcato"                    | 11   | "04:05:30.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Ivan Santaromita"                 | 12   | "04:06:18.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Miguel Angel Lopez"               | 13   | "04:07:16.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Primoz Roglic"                    | 14   | "04:08:00.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Richard Carapaz"                  | 15   | "04:08:00.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Vincenzo Nibali"                  | 16   | "04:08:00.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Mikel Landa Meana"                | 17   | "04:08:00.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Rafal Majka"                      | 18   | "04:08:00.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Bauke Mollema"                    | 19   | "04:08:00.000" |
| "Treviso - San Martino di Castrozza - 151km"               | "Hugh Carthy"                      | 20   | "04:08:00.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Pello Bilbao"                     | 1    | "05:46:02.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Mikel Landa Meana"                | 2    | "05:46:02.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Giulio Ciccone"                   | 3    | "05:46:04.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Richard Carapaz"                  | 4    | "05:46:06.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Vincenzo Nibali"                  | 5    | "05:46:06.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Tanel Kangert"                    | 6    | "05:46:17.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Mikel Nieve"                      | 7    | "05:46:17.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Valentin Madouas"                 | 8    | "05:46:27.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Rafal Majka"                      | 9    | "05:46:46.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Domenico Pozzovivo"               | 10   | "05:46:46.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Pavel Sivakov"                    | 11   | "05:46:50.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Simon Yates"                      | 12   | "05:46:50.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Bauke Mollema"                    | 13   | "05:46:50.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Primoz Roglic"                    | 14   | "05:46:56.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Hugh Carthy"                      | 15   | "05:47:12.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Lucas Hamilton"                   | 16   | "05:47:21.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Amanuel Ghebreigzabhier Werkilui" | 17   | "05:47:21.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Miguel Angel Lopez"               | 18   | "05:47:51.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Edward Dunbar"                    | 19   | "05:48:01.000" |
| "Feltre - Croce d'Aune-Monte Avena - 194km"                | "Ilnur Zakarin"                    | 20   | "05:48:20.000" |
| "Verona - Verona (ITT) - 17km"                             | "Chad Haga"                        | 1    | "00:22:07.000" |
| "Verona - Verona (ITT) - 17km"                             | "Victor Campenaerts"               | 2    | "00:22:11.000" |
| "Verona - Verona (ITT) - 17km"                             | "Thomas De Gendt"                  | 3    | "00:22:13.000" |
| "Verona - Verona (ITT) - 17km"                             | "Damiano Caruso"                   | 4    | "00:22:16.000" |
| "Verona - Verona (ITT) - 17km"                             | "Tobias Ludvigsson"                | 5    | "00:22:18.000" |
| "Verona - Verona (ITT) - 17km"                             | "Josef Cerny"                      | 6    | "00:22:18.000" |
| "Verona - Verona (ITT) - 17km"                             | "Pello Bilbao"                     | 7    | "00:22:24.000" |
| "Verona - Verona (ITT) - 17km"                             | "Mattia Cattaneo"                  | 8    | "00:22:27.000" |
| "Verona - Verona (ITT) - 17km"                             | "Vincenzo Nibali"                  | 9    | "00:22:30.000" |
| "Verona - Verona (ITT) - 17km"                             | "Primoz Roglic"                    | 10   | "00:22:33.000" |
| "Verona - Verona (ITT) - 17km"                             | "Luke Durbridge"                   | 11   | "00:22:34.000" |
| "Verona - Verona (ITT) - 17km"                             | "Tom Bohli"                        | 12   | "00:22:41.000" |
| "Verona - Verona (ITT) - 17km"                             | "Ilnur Zakarin"                    | 13   | "00:22:43.000" |
| "Verona - Verona (ITT) - 17km"                             | "Jan Polanc"                       | 14   | "00:22:44.000" |
| "Verona - Verona (ITT) - 17km"                             | "Rafal Majka"                      | 15   | "00:22:47.000" |
| "Verona - Verona (ITT) - 17km"                             | "Jos Van Emden"                    | 16   | "00:22:49.000" |
| "Verona - Verona (ITT) - 17km"                             | "Bob Jungels"                      | 17   | "00:22:51.000" |
| "Verona - Verona (ITT) - 17km"                             | "Jack Bauer"                       | 18   | "00:22:55.000" |
| "Verona - Verona (ITT) - 17km"                             | "Andrey Amador"                    | 19   | "00:23:00.000" |
| "Verona - Verona (ITT) - 17km"                             | "Pavel Sivakov"                    | 20   | "00:23:04.000" |
---------------------------------------------------------------------------------------------------------------------------
