--------------------------------------------------------------------------------------------
| teamName               | playerName                                     | foulsCommitted |
| "Liverpool"            | "Sadio Mané"                                   | "2"            |
| "Manchester City"      | "Aleksandar Kolarov"                           | "2"            |
| "Manchester City"      | "Edin Dzeko"                                   | "1"            |
| "Manchester City"      | "Fernando Luiz Rosa"                           | "1"            |
| "Manchester City"      | "James Milner"                                 | "2"            |
| "Manchester City"      | "James Milner"                                 | "2"            |
| "Manchester City"      | "Player <http://example.com/Athlete/PO15157>"  | "2"            |
| "Manchester City"      | "Player <http://example.com/Athlete/PO15157>"  | "2"            |
| "Manchester City"      | "Player <http://example.com/Athlete/PO27789>"  | "1"            |
| "Manchester City"      | "Player <http://example.com/Athlete/PO42593>"  | "2"            |
| "Manchester United"    | "Donny van de Beek"                            | "1"            |
| "Manchester United"    | "Fred"                                         | "2"            |
| "Manchester United"    | "Harry Maguire"                                | "1"            |
| "Manchester United"    | "Marcus Rashford"                              | "1"            |
| "Manchester United"    | "Mason Greenwood"                              | "3"            |
| "Manchester United"    | "Player <http://example.com/Athlete/p.101582>" | "2"            |
| "Manchester United"    | "Player <http://example.com/Athlete/p.176297>" | "1"            |
| "Manchester United"    | "Player <http://example.com/Athlete/p.180184>" | "1"            |
| "Manchester United"    | "Player <http://example.com/Athlete/p.184667>" | "1"            |
| "Manchester United"    | "Player <http://example.com/Athlete/p.195851>" | "2"            |
| "Manchester United"    | "Player <http://example.com/Athlete/p.220688>" | "3"            |
| "Manchester United"    | "Player <http://example.com/Athlete/p.95658>"  | "1"            |
| "Manchester United"    | "Scott McTominay"                              | "2"            |
| "Manchester United"    | "Victor Lindelöf"                              | "1"            |
| "Newcastle United"     | "Allan Saint-Maximin"                          | "1"            |
| "Newcastle United"     | "Callum Wilson"                                | "3"            |
| "Newcastle United"     | "Jonjo Shelvey"                                | "1"            |
| "Newcastle United"     | "Matt Ritchie"                                 | "1"            |
| "Newcastle United"     | "Player <http://example.com/Athlete/p.170137>" | "1"            |
| "Newcastle United"     | "Player <http://example.com/Athlete/p.50232>"  | "1"            |
| "Newcastle United"     | "Player <http://example.com/Athlete/p.56983>"  | "1"            |
| "Newcastle United"     | "Player <http://example.com/Athlete/p.75115>"  | "3"            |
| "Newcastle United"     | "Sean Longstaff"                               | "1"            |
