-----------------------------------------------------------------------------
| stageName    | eventName | playerName                  | rank | time      |
| "Final"      | "Final"   | "Emmanuel Kipkurui Korir"   | 1    | "1:45.06" |
| "Final"      | "Final"   | "Ferguson Cheruiyot Rotich" | 2    | "1:45.23" |
| "Final"      | "Final"   | "Patryk Dobek"              | 3    | "1:45.39" |
| "Final"      | "Final"   | "Peter Bol"                 | 4    | "1:45.92" |
| "Final"      | "Final"   | "Adrian Ben"                | 5    | "1:45.96" |
| "Final"      | "Final"   | "Amel Tuka"                 | 6    | "1:45.98" |
| "Final"      | "Final"   | "Gabriel Tual"              | 7    | "1:46.03" |
| "Final"      | "Final"   | "Nijel Amos"                | 8    | "1:46.41" |
| "Final"      | "Final"   | "Clayton Murphy"            | 9    | "1:46.53" |
-----------------------------------------------------------------------------
