----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| teamName       | playerName              | playerPos                   | dob                                                   | uniformNumber | competition                                     |
| "Dallas Stars" | "Kari Lehtonen"         | spichposition:goalie        | "1983-11-16"^^<http://www.w3.org/2001/XMLSchema#date> | "32"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Ludwig Bystrom"        | spichposition:defenseman    | "1994-07-20"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Ludwig Karlsson"       | spichposition:right-forward | "1991-01-06"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Matej Stransky"        | spichposition:right-forward | "1993-07-11"^^<http://www.w3.org/2001/XMLSchema#date> | "28"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Matt Mangene"          | spichposition:defenseman    | "1989-03-12"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Mattias Backman"       | spichposition:defenseman    | "1992-10-03"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Mattias Janmark-Nylen" | spichposition:center        | "1992-12-08"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Maxime Fortunus"       | spichposition:defenseman    | "1983-07-28"^^<http://www.w3.org/2001/XMLSchema#date> | "73"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Mike Hedden"           | spichposition:left-forward  | "1984-12-27"^^<http://www.w3.org/2001/XMLSchema#date> | "26"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Patrick Eaves"         | spichposition:right-forward | "1984-05-01"^^<http://www.w3.org/2001/XMLSchema#date> | "18"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Patrick Nemeth"        | spichposition:defenseman    | "1992-02-08"^^<http://www.w3.org/2001/XMLSchema#date> | "37"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Philippe Desrosiers"   | spichposition:goalie        | "1995-08-16"^^<http://www.w3.org/2001/XMLSchema#date> | "70"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Radek Faksa"           | spichposition:center        | "1994-01-09"^^<http://www.w3.org/2001/XMLSchema#date> | "94"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Remi Elie"             | spichposition:left-forward  | "1995-04-16"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Rich Peverley"         | spichposition:center        | "1982-07-08"^^<http://www.w3.org/2001/XMLSchema#date> | "17"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Ryan Button"           | spichposition:defenseman    | "1991-03-26"^^<http://www.w3.org/2001/XMLSchema#date> | "46"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Ryan Garbutt"          | spichposition:left-forward  | "1985-08-12"^^<http://www.w3.org/2001/XMLSchema#date> | "16"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Scott Glennie"         | spichposition:right-forward | "1991-02-22"^^<http://www.w3.org/2001/XMLSchema#date> | "15"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Shawn Horcoff"         | spichposition:right-forward | "1978-09-17"^^<http://www.w3.org/2001/XMLSchema#date> | "10"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Taylor Peters"         | spichposition:center        | "1992-01-24"^^<http://www.w3.org/2001/XMLSchema#date> | "25"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Tim Thomas"            | spichposition:goalie        | "1974-04-15"^^<http://www.w3.org/2001/XMLSchema#date> | "30"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Toby Petersen"         | spichposition:center        | "1978-10-27"^^<http://www.w3.org/2001/XMLSchema#date> | "19"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Travis Moen"           | spichposition:left-forward  | "1982-04-06"^^<http://www.w3.org/2001/XMLSchema#date> | "27"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Travis Morin"          | spichposition:center        | "1984-01-09"^^<http://www.w3.org/2001/XMLSchema#date> | "39"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Trevor Daley"          | spichposition:defenseman    | "1983-10-09"^^<http://www.w3.org/2001/XMLSchema#date> | "6"           | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Tristan King"          | spichposition:center        | "1990-11-07"^^<http://www.w3.org/2001/XMLSchema#date> | "60"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Troy Vance"            | spichposition:defenseman    | "1993-08-02"^^<http://www.w3.org/2001/XMLSchema#date> | "42"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Tyler Seguin"          | spichposition:center        | "1992-01-31"^^<http://www.w3.org/2001/XMLSchema#date> | "91"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Valeri Nichushkin"     | spichposition:right-forward | "1995-03-04"^^<http://www.w3.org/2001/XMLSchema#date> | "43"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Vernon Fiddler"        | spichposition:center        | "1980-05-09"^^<http://www.w3.org/2001/XMLSchema#date> | "38"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "William Wrenn"         | spichposition:defenseman    | "1991-03-16"^^<http://www.w3.org/2001/XMLSchema#date> | "2"           | <http://example.com/Competition/l.nhl.com-2015> |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
