------------------------------------------------------------------------------------------------------------------------------------------------------
| type                                                              | property                                                                       |
| <http://www.w3.org/2004/02/skos/core#ConceptScheme>               | <http://cv.iptc.org/newscodes/ikos/licenceLink>                                |
| <http://www.w3.org/2004/02/skos/core#ConceptScheme>               | <http://cv.iptc.org/newscodes/ikos/prefSchemeAlias>                            |
| <http://www.w3.org/2004/02/skos/core#ConceptScheme>               | <http://purl.org/dc/terms/dateSubmitted>                                       |
| <http://www.w3.org/2004/02/skos/core#ConceptScheme>               | <http://purl.org/dc/terms/rightsHolder>                                        |
| <http://www.w3.org/2004/02/skos/core#ConceptScheme>               | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                              |
| <http://www.w3.org/2004/02/skos/core#ConceptScheme>               | <http://www.w3.org/2004/02/skos/core#HasTopConcept>                            |
| <http://www.w3.org/2004/02/skos/core#ConceptScheme>               | <http://www.w3.org/2004/02/skos/core#definition>                               |
| <http://www.w3.org/2004/02/skos/core#ConceptScheme>               | <http://www.w3.org/2004/02/skos/core#note>                                     |
| <http://www.w3.org/2004/02/skos/core#ConceptScheme>               | <http://www.w3.org/2004/02/skos/core#prefLabel>                                |
| <https://sportschema.org/ontologies/main/Action>                  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                              |
| <https://sportschema.org/ontologies/main/Action>                  | <http://www.w3.org/2000/01/rdf-schema#label>                                   |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/actionDateTime>                       |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/actionInEvent>                        |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/actionType>                           |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/angle>                                |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/bodyPart>                             |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/class>                                |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/comment>                              |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/distance>                             |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/endLocation>                          |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/fieldLocation>                        |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/goalLocation>                         |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/goalMouthZone>                        |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/infractionLevel>                      |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/infractionType>                       |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/lastModified>                         |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/length>                               |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/minutesElapsed>                       |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/oppositePlay>                         |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/participation>                        |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/passDescription>                      |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/passMethod>                           |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/passType>                             |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/penaltyLevel>                         |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/penaltyType>                          |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/periodValue>                          |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/personReplacingPosition>              |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/pitchZone>                            |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/recipientType>                        |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/relatedAction>                        |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/result>                               |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/saveDescription>                      |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/saveMethod>                           |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/saveType>                             |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/scoreAttemptDescription>              |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/scoreAttemptResult>                   |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/scoreAttemptSide>                     |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/scoreAttemptSituation>                |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/scoreAttemptType>                     |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/sequenceNumber>                       |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/shotDescription>                      |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/shotQuality>                          |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/shotType>                             |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/startLocation>                        |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/substitutionReason>                   |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/timeAddition>                         |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/timeElapsed>                          |
| <https://sportschema.org/ontologies/main/Action>                  | <https://sportschema.org/ontologies/main/zone>                                 |
| <https://sportschema.org/ontologies/main/Associate>               | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                              |
| <https://sportschema.org/ontologies/main/Associate>               | <http://www.w3.org/2000/01/rdf-schema#label>                                   |
| <https://sportschema.org/ontologies/main/Athlete>                 | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                              |
| <https://sportschema.org/ontologies/main/Athlete>                 | <http://www.w3.org/2000/01/rdf-schema#label>                                   |
| <https://sportschema.org/ontologies/main/Athlete>                 | <https://sportschema.org/ontologies/main/dateOfBirth>                          |
| <https://sportschema.org/ontologies/main/Athlete>                 | <https://sportschema.org/ontologies/main/nationality>                          |
| <https://sportschema.org/ontologies/main/Competition>             | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                              |
| <https://sportschema.org/ontologies/main/Competition>             | <http://www.w3.org/2000/01/rdf-schema#label>                                   |
| <https://sportschema.org/ontologies/main/Competition>             | <https://sportschema.org/ontologies/main/competitionType>                      |
| <https://sportschema.org/ontologies/main/Competition>             | <https://sportschema.org/ontologies/main/governedBy>                           |
| <https://sportschema.org/ontologies/main/Competition>             | <https://sportschema.org/ontologies/main/parent>                               |
| <https://sportschema.org/ontologies/main/Competition>             | <https://sportschema.org/ontologies/main/participation>                        |
| <https://sportschema.org/ontologies/main/Competition>             | <https://sportschema.org/ontologies/main/sport>                                |
| <https://sportschema.org/ontologies/main/CompetitionPhase>        | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                              |
| <https://sportschema.org/ontologies/main/CompetitionPhase>        | <http://www.w3.org/2000/01/rdf-schema#label>                                   |
| <https://sportschema.org/ontologies/main/CompetitionPhase>        | <https://sportschema.org/ontologies/main/competitionFormat>                    |
| <https://sportschema.org/ontologies/main/CompetitionPhase>        | <https://sportschema.org/ontologies/main/competitionPhaseType>                 |
| <https://sportschema.org/ontologies/main/CompetitionPhase>        | <https://sportschema.org/ontologies/main/parent>                               |
| <https://sportschema.org/ontologies/main/CompetitionPhase>        | <https://sportschema.org/ontologies/main/participation>                        |
| <https://sportschema.org/ontologies/main/CompetitionPhase>        | <https://sportschema.org/ontologies/main/phaseInCompetition>                   |
| <https://sportschema.org/ontologies/main/Event>                   | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                              |
| <https://sportschema.org/ontologies/main/Event>                   | <http://www.w3.org/2000/01/rdf-schema#label>                                   |
| <https://sportschema.org/ontologies/main/Event>                   | <https://sportschema.org/ontologies/main/attendance>                           |
| <https://sportschema.org/ontologies/main/Event>                   | <https://sportschema.org/ontologies/main/eventInCompetition>                   |
| <https://sportschema.org/ontologies/main/Event>                   | <https://sportschema.org/ontologies/main/eventInCompetitionPhase>              |
| <https://sportschema.org/ontologies/main/Event>                   | <https://sportschema.org/ontologies/main/eventOutcomeType>                     |
| <https://sportschema.org/ontologies/main/Event>                   | <https://sportschema.org/ontologies/main/eventStatus>                          |
